# ----------------------------------------
# 보고서 CSV 내보내기
# 계정: SK이노베이션(한글)
# 속성: SK이노베이션 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20240319
# 종료일: 20240319
기기 카테고리,페이지 경로 및 화면 클래스,총 사용자,새 사용자 수,조회수
mobile,/archives/114309,46,38,46
desktop,/,104,35,215
mobile,/archives/32828,29,25,30
mobile,/archives/24686,23,23,24
desktop,/archives/84588,22,17,24
mobile,/,25,15,41
desktop,/archives/104002,15,13,18
desktop,/archives/48279,12,11,14
desktop,/archives/103947,18,10,19
desktop,/archives/8448,10,10,10
desktop,/archives/114309,27,9,29
mobile,/archives/113797,10,9,11
mobile,/archives/49884,9,9,9
desktop,/archives/113797,13,8,15
desktop,/archives/8355,8,8,11
desktop,/archives/32828,8,7,8
mobile,/archives/8448,7,7,7
desktop,/archives/49884,9,6,10
desktop,/archives/98107,6,6,6
desktop,/archives/category/business/sk-enmove,8,6,13
desktop,/archives/category/business/sk-on,21,6,43
mobile,/archives/category/business/sk-enterm,7,6,10
desktop,/archives/100159,6,5,6
desktop,/archives/100667,8,5,9
desktop,/archives/111387,5,5,5
desktop,/archives/111540,5,5,6
desktop,/archives/113159,6,5,7
desktop,/archives/114172,14,5,15
desktop,/archives/8502,6,5,6
desktop,/archives/category/business/sk-enterm,8,5,10
mobile,/archives/96864,6,5,9
desktop,/archives/103803,7,4,12
desktop,/archives/113680,7,4,7
desktop,/archives/113998,11,4,14
desktop,/archives/48881,4,4,4
desktop,/archives/60291,4,4,4
desktop,/archives/83571,4,4,4
desktop,/archives/88198,6,4,7
desktop,/archives/88269,5,4,5
desktop,/archives/8935,4,4,4
desktop,/archives/category/business/sk-energy,9,4,14
desktop,/posts,12,4,14
mobile,/archives/104721,4,4,4
mobile,/archives/113952,4,4,4
mobile,/archives/113998,4,4,4
mobile,/archives/16295,4,4,4
mobile,/archives/21617,4,4,5
mobile,/archives/category/business/sk-enmove,5,4,10
mobile,/archives/category/business/sk-on,9,4,5
mobile,/newsroom-guide,5,4,6
desktop,/archives/100892,5,3,5
desktop,/archives/104721,3,3,3
desktop,/archives/107142,4,3,4
desktop,/archives/110323,4,3,4
desktop,/archives/113952,5,3,5
desktop,/archives/114094,6,3,6
desktop,/archives/114153,12,3,14
desktop,/archives/21277,3,3,3
desktop,/archives/21314,4,3,7
desktop,/archives/24005,3,3,3
desktop,/archives/34678,3,3,3
desktop,/archives/45433,3,3,3
desktop,/archives/80568,3,3,4
desktop,/archives/8482,3,3,3
desktop,/archives/9637,3,3,3
desktop,/archives/97077,4,3,4
desktop,/archives/category/business/sk-incheonpetrochem,6,3,8
desktop,/archives/tag/sk경영경제연구소,3,3,7
mobile,/archives/100739,3,3,6
mobile,/archives/103947,3,3,3
mobile,/archives/107142,3,3,3
mobile,/archives/110015,3,3,4
mobile,/archives/111387,3,3,3
mobile,/archives/48279,4,3,5
mobile,/archives/8422,4,3,7
mobile,/archives/84588,3,3,3
mobile,/archives/98107,3,3,3
mobile,/archives/99361,4,3,4
mobile,/archives/category/business/sk-incheonpetrochem,4,3,5
desktop,/archives/101248,3,2,4
desktop,/archives/103579,2,2,3
desktop,/archives/104187,3,2,3
desktop,/archives/107388,2,2,2
desktop,/archives/111224,2,2,2
desktop,/archives/111486,3,2,3
desktop,/archives/112956,2,2,2
desktop,/archives/113855,5,2,6
desktop,/archives/114138,6,2,7
desktop,/archives/114278,13,2,14
desktop,/archives/14875,2,2,3
desktop,/archives/15214,3,2,3
desktop,/archives/18301,2,2,2
desktop,/archives/19981,3,2,5
desktop,/archives/24588,4,2,4
desktop,/archives/25579,3,2,3
desktop,/archives/25903,2,2,2
desktop,/archives/27825,2,2,3
desktop,/archives/28782,2,2,2
desktop,/archives/30434,2,2,2
desktop,/archives/36237,2,2,2
desktop,/archives/38114,2,2,3
desktop,/archives/47994,2,2,2
desktop,/archives/48028,2,2,2
desktop,/archives/62987,2,2,2
desktop,/archives/6688,2,2,2
desktop,/archives/76541,2,2,3
desktop,/archives/78785,2,2,4
desktop,/archives/84713,2,2,2
desktop,/archives/85278,3,2,3
desktop,/archives/90090,2,2,2
desktop,/archives/9131,2,2,3
desktop,/archives/93757,2,2,2
desktop,/archives/94030,2,2,2
desktop,/archives/94113,3,2,3
desktop,/archives/95110,4,2,4
desktop,/archives/category/field-news,9,2,10
desktop,/archives/category/industry-and-insight,10,2,11
desktop,/archives/category/social-news,2,2,2
desktop,/archives/tag/김현미-센터장,2,2,2
desktop,/archives/tag/액침냉각,2,2,4
mobile,/archives/101248,2,2,2
mobile,/archives/105449,2,2,2
mobile,/archives/105883,2,2,3
mobile,/archives/109462,3,2,3
mobile,/archives/110975,2,2,2
mobile,/archives/111540,3,2,3
mobile,/archives/13682,2,2,2
mobile,/archives/20948,2,2,2
mobile,/archives/25903,2,2,2
mobile,/archives/28782,2,2,2
mobile,/archives/31846,2,2,2
mobile,/archives/59030,2,2,2
mobile,/archives/68608,2,2,2
mobile,/archives/7348,3,2,5
mobile,/archives/7380,2,2,2
mobile,/archives/78785,2,2,2
